"report_date","total_purchase_amt","total_redeem_amt"
2013-07-01,89813113,24767334
2013-07-02,120814358,8390811
2013-07-03,99830106,17245549
2013-07-04,145901690,16859653
2013-07-05,84773760,11369171
2013-07-06,59506459,14851205
2013-07-07,46789017,8760751
2013-07-08,127070930,12800183
2013-07-09,127045030,37743853
2013-07-10,94024796,15388462
2013-07-11,92533829,19733522
2013-07-12,88590123,26665085
2013-07-13,44843315,84800004
2013-07-14,95595992,20069420
2013-07-15,154906446,25684639
2013-07-16,82754720,49928436
2013-07-17,149091732,73168887
2013-07-18,148988197,26261821
2013-07-19,103432155,29356947
2013-07-20,51379255,23290369
2013-07-21,114182489,33292242
2013-07-22,129240030,35389055
2013-07-23,100023603,43940831
2013-07-24,124934446,61442476
2013-07-25,128615656,58899083
2013-07-26,106171544,48620749
2013-07-27,73916277,24896377
2013-07-28,62626554,23659320
2013-07-29,165363143,63686082
2013-07-30,191812968,36409379
2013-07-31,138901835,52948901
2013-08-01,225245595,58373937
2013-08-02,155842960,77362022
2013-08-03,75439704,27534149
2013-08-04,72586562,23534786
2013-08-05,211681418,58290152
2013-08-06,173791518,66530666
2013-08-07,148706998,63681100
2013-08-08,166870967,59557488
2013-08-09,125302842,78883527
2013-08-10,71389165,62615121
2013-08-11,97747045,41375294
2013-08-12,167976431,94186916
2013-08-13,209288691,79558932
2013-08-14,179540557,56018171
2013-08-15,137756016,123075191
2013-08-16,160827399,55143603
2013-08-17,74614450,30284740
2013-08-18,102665299,66925527
2013-08-19,191034645,75437301
2013-08-20,215278887,54085868
2013-08-21,179538060,63953557
2013-08-22,141263728,77562736
2013-08-23,170467134,76867637
2013-08-24,90286330,39106878
2013-08-25,102488268,60953902
2013-08-26,170342886,74101528
2013-08-27,201065197,97844573
2013-08-28,129007472,135996224
2013-08-29,123008333,125670911
2013-08-30,167352846,51062888
2013-08-31,105053756,69778442
2013-09-01,130597360,60517475
2013-09-02,207386289,91198734
2013-09-03,172090108,122225143
2013-09-04,246685377,86735957
2013-09-05,193869240,92642988
2013-09-06,176731156,123656533
2013-09-07,102583538,67680268
2013-09-08,98918622,69390347
2013-09-09,213520532,136495298
2013-09-10,235334890,76701172
2013-09-11,156030112,125767391
2013-09-12,200890607,74065347
2013-09-13,138108652,86518711
2013-09-14,98337797,81650516
2013-09-15,130360305,89897356
2013-09-16,244970979,119170200
2013-09-17,205792163,122576821
2013-09-18,165970416,83937362
2013-09-19,90641505,43825708
2013-09-20,78211465,81984912
2013-09-21,114655993,46779684
2013-09-22,229705941,79473437
2013-09-23,215173883,130343715
2013-09-24,220603453,118672801
2013-09-25,178184987,87985246
2013-09-26,196326843,165630996
2013-09-27,257158567,147195638
2013-09-28,118852653,121747170
2013-09-29,161394027,155657758
2013-09-30,160072281,153121672
2013-10-01,58411310,37266451
2013-10-02,54721123,41385235
2013-10-03,64648545,41815760
2013-10-04,66589920,59421575
2013-10-05,54212404,52955183
2013-10-06,70693085,55905545
2013-10-07,192110784,112293466
2013-10-08,400213868,266199594
2013-10-09,274434171,178720604
2013-10-10,293972112,160633808
2013-10-11,289116360,137499465
2013-10-12,314468363,99032942
2013-10-13,182858328,79106025
2013-10-14,417460081,115526310
2013-10-15,346614200,220553101
2013-10-16,363420403,112486400
2013-10-17,296070297,136312442
2013-10-18,236454735,198430712
2013-10-19,198958559,75667615
2013-10-20,187152905,98691539
2013-10-21,386053376,176772897
2013-10-22,355931275,115555821
2013-10-23,354289136,242119411
2013-10-24,298758783,250629861
2013-10-25,267017153,154720122
2013-10-26,252249276,100175814
2013-10-27,150344030,93812641
2013-10-28,459922019,304909399
2013-10-29,442440394,183392536
2013-10-30,416808511,285029470
2013-10-31,317970797,233329146
2013-11-01,402779908,195156241
2013-11-02,269181203,146685365
2013-11-03,274526001,153014854
2013-11-04,398719844,212865431
2013-11-05,552606084,295042276
2013-11-06,680731675,246339472
2013-11-07,714661126,353923933
2013-11-08,599073316,281104864
2013-11-09,413232038,254082691
2013-11-10,503754820,228942339
2013-11-11,568392496,757315547
2013-11-12,576579651,257683408
2013-11-13,593090347,200822069
2013-11-14,488635145,241049256
2013-11-15,450794762,186805206
2013-11-16,316633052,174547895
2013-11-17,490372314,309900510
2013-11-18,522189427,363110714
2013-11-19,581096699,323044688
2013-11-20,574718176,297285344
2013-11-21,541676554,227348372
2013-11-22,397695765,303996866
2013-11-23,369423029,190323930
2013-11-24,270526886,168729425
2013-11-25,601607369,302085449
2013-11-26,550825368,248573588
2013-11-27,506111814,318356727
2013-11-28,606820848,294912229
2013-11-29,431776160,303866665
2013-11-30,370945332,184138679
2013-12-01,468652815,249619519
2013-12-02,666056452,380449793
2013-12-03,790334435,365763711
2013-12-04,653729093,242997796
2013-12-05,701257997,352762514
2013-12-06,464265102,275263750
2013-12-07,396118837,192923691
2013-12-08,457110650,278667690
2013-12-09,568428308,468130433
2013-12-10,722592875,366356952
2013-12-11,674017286,380303452
2013-12-12,774488551,354021379
2013-12-13,615161859,249015731
2013-12-14,305389352,263476998
2013-12-15,562991333,259867374
2013-12-16,787655311,444524103
2013-12-17,693648619,471239043
2013-12-18,728183881,576233889
2013-12-19,615372267,549325852
2013-12-20,519271840,616940945
2013-12-21,502881982,355207936
2013-12-22,405171346,324798245
2013-12-23,702214591,626857290
2013-12-24,736775548,484571541
2013-12-25,919388088,506877689
2013-12-26,917734452,617778829
2013-12-27,724902226,426449908
2013-12-28,559094795,307058278
2013-12-29,657416607,329736272
2013-12-30,1100048262,695758701
2013-12-31,1030200272,397770307
2014-01-01,855245984,336074968
2014-01-02,1276102700,456768489
2014-01-03,939337476,419119357
2014-01-04,684467833,279915568
2014-01-05,770822439,253861764
2014-01-06,1193473973,529587407
2014-01-07,1086836213,655350011
2014-01-08,1254678379,521915714
2014-01-09,983934823,473415075
2014-01-10,964842836,483051319
2014-01-11,756480003,328576125
2014-01-12,756431519,370226935
2014-01-13,1408999028,558413590
2014-01-14,1248129108,623636882
2014-01-15,1358336590,585354847
2014-01-16,1184253685,615027626
2014-01-17,1007557758,655807680
2014-01-18,575276232,386917461
2014-01-19,730405427,448234586
2014-01-20,1397929743,795749437
2014-01-21,1242415960,794104124
2014-01-22,1397104858,752253567
2014-01-23,1262577349,679377299
2014-01-24,1645612024,859252304
2014-01-25,1178711979,731520238
2014-01-26,1713541320,880739407
2014-01-27,2385795314,976147173
2014-01-28,3101976669,833248182
2014-01-29,3231100931,655183716
2014-01-30,813019949,326221465
2014-01-31,297268556,147238579
2014-02-01,306403336,128137499
2014-02-02,247332263,168615299
2014-02-03,315009937,190131967
2014-02-04,385640043,204748098
2014-02-05,471949894,261553365
2014-02-06,787413900,476437612
2014-02-07,1613953820,961019446
2014-02-08,1322934105,589227302
2014-02-09,1304965909,705117872
2014-02-10,2467785988,1156243623
2014-02-11,2305648221,1073355231
2014-02-12,2082906843,827889422
2014-02-13,2023862072,897619307
2014-02-14,1667222294,861625218
2014-02-15,940909320,423375925
2014-02-16,1358243946,676507036
2014-02-17,2050278008,1083851374
2014-02-18,2041088758,859611268
2014-02-19,1988972281,1076342724
2014-02-20,1686141954,1069323623
2014-02-21,1407653427,777708588
2014-02-22,1012367945,441799971
2014-02-23,1337727041,555429939
2014-02-24,2081711725,1291458796
2014-02-25,2067472057,1573899869
2014-02-26,2108362595,1314047449
2014-02-27,1953502487,1178223055
2014-02-28,1461760369,1001438453
2014-03-01,903808003,719031985
2014-03-02,902770166,667168240
2014-03-03,1959205390,1659150228
2014-03-04,1719103693,1121666444
2014-03-05,1636329106,1340659608
2014-03-06,1350446630,1080141511
2014-03-07,1275418685,673792270
2014-03-08,725095462,662284575
2014-03-09,863868715,816868008
2014-03-10,1566596910,1318576957
2014-03-11,1420964232,1192108538
2014-03-12,1230934397,1148117172
2014-03-13,1328546072,1126126746
2014-03-14,1032832754,937029733
2014-03-15,804593572,988992648
2014-03-16,916032883,877762638
2014-03-17,1444856542,1304329533
2014-03-18,1081162480,1212319810
2014-03-19,1175049310,1122114777
2014-03-20,1139072271,1005809366
2014-03-21,901048827,737559666
2014-03-22,584423977,693819409
2014-03-23,647030988,745165215
2014-03-24,1141012147,1461615384
2014-03-25,939401225,1328689434
2014-03-26,1022016290,1109585503
2014-03-27,887292726,1222922504
2014-03-28,729091409,1066495631
2014-03-29,703279492,748028107
2014-03-30,602663436,754729383
2014-03-31,1250306245,1474157772
2014-04-01,1602453549,1093091222
2014-04-02,1232180369,926693242
2014-04-03,1075779488,852305388
2014-04-04,869826250,623701916
2014-04-05,552439004,341894852
2014-04-06,538590199,456402127
2014-04-07,786574897,782523603
2014-04-08,1190990631,991972881
2014-04-09,1201961729,1064150564
2014-04-10,1257791976,846163822
2014-04-11,1101567126,809807312
2014-04-12,713131643,567002242
2014-04-13,714597608,584200823
2014-04-14,1144221932,1118620195
2014-04-15,1178573487,1040810671
2014-04-16,1123610612,869093271
2014-04-17,1040319071,851757988
2014-04-18,866509633,751459635
2014-04-19,534994187,560775750
2014-04-20,552978457,663922816
2014-04-21,1020496868,1062371043
2014-04-22,1041906359,905544882
2014-04-23,1003295467,1054022740
2014-04-24,862030683,944967766
2014-04-25,888306160,863185856
2014-04-26,584376070,480359471
2014-04-27,631881868,643976007
2014-04-28,878628555,1106383527
2014-04-29,984030109,894370025
2014-04-30,985057730,761129230
2014-05-01,632162787,353838677
2014-05-02,517951606,388477236
2014-05-03,615402548,603591698
2014-05-04,1043538823,1055224546
2014-05-05,1305407591,1008107208
2014-05-06,1295140258,1131318047
2014-05-07,1184976594,935810047
2014-05-08,972395792,930169778
2014-05-09,895767162,663111696
2014-05-10,590014111,421426911
2014-05-11,769744332,569188828
2014-05-12,1034878881,1149138669
2014-05-13,1110676086,1029146114
2014-05-14,877405523,1031829159
2014-05-15,989700400,952913519
2014-05-16,830373528,761267069
2014-05-17,553817765,634493111
2014-05-18,670805253,632326858
2014-05-19,986647698,1253371215
2014-05-20,1021891988,1058700731
2014-05-21,913702550,842564229
2014-05-22,863613857,847421768
2014-05-23,789133572,672341659
2014-05-24,521968050,594191835
2014-05-25,537532687,683904643
2014-05-26,1005409943,1131983595
2014-05-27,926658750,852759024
2014-05-28,965489457,1069478302
2014-05-29,913081309,929565855
2014-05-30,805401221,821674693
2014-05-31,482170012,486335199
2014-06-01,620961130,510179061
2014-06-02,593886671,526313376
2014-06-03,1074740886,1262849834
2014-06-04,1130255625,1011805928
2014-06-05,1104013595,956689776
2014-06-06,821082370,840725163
2014-06-07,601054953,520236581
2014-06-08,591554594,539414916
2014-06-09,1054908200,991554728
2014-06-10,1096021712,958028076
2014-06-11,1111817011,849220391
2014-06-12,880170435,878073690
2014-06-13,850207051,711304989
2014-06-14,587937861,584584153
2014-06-15,585960916,647180585
2014-06-16,1092897875,1115064026
2014-06-17,1016229512,1130015079
2014-06-18,870198276,1249375149
2014-06-19,835807322,1125610758
2014-06-20,772061554,1015111194
2014-06-21,533479839,621729256
2014-06-22,551920039,694468262
2014-06-23,900025202,1468797041
2014-06-24,883939317,1487077921
2014-06-25,1073343947,1273672648
2014-06-26,930487774,1334529832
2014-06-27,756016734,1079126114
2014-06-28,515523132,746553542
2014-06-29,532360147,931620037
2014-06-30,1081686146,1513804836
2014-07-01,1296682479,1152439615
2014-07-02,1204988761,1238475458
2014-07-03,875335207,1065113399
2014-07-04,863197730,721247030
2014-07-05,655224365,632298301
2014-07-06,567300933,550798204
2014-07-07,1040158032,1064665636
2014-07-08,894109101,1013498905
2014-07-09,839909447,1228887069
2014-07-10,1010415719,1064396479
2014-07-11,719653826,733882032
2014-07-12,533527578,633273805
2014-07-13,545617754,556986336
2014-07-14,953017630,1129795152
